"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.229995417E-1,7.464976501E-1,-2.050885162E0,3.602708130E0,4.212231542E0
9.330105418E-1,1.924547882E0,-1.838027802E0,3.583547974E0,4.463636055E0
9.430215419E-1,3.025059357E0,-1.949545898E0,3.760629730E0,5.205194453E0
9.530315418E-1,3.439397736E0,-2.268233185E0,4.323159943E0,5.971938584E0
9.630425419E-1,3.902085571E0,-2.211950226E0,4.729115753E0,6.517939200E0
9.730525417E-1,3.782035217E0,-2.252665558E0,4.963528290E0,6.634373036E0
9.830635418E-1,3.353177032E0,-2.627037048E0,4.588108978E0,6.260660018E0
9.930735417E-1,3.152294769E0,-2.715054016E0,4.133803711E0,5.864879687E0
1.003084542E0,3.776646423E0,-2.875819702E0,4.053121490E0,6.241890017E0
1.013095542E0,4.120481415E0,-2.853516083E0,4.176764374E0,6.524284004E0
1.023105542E0,4.351301422E0,-2.780318298E0,4.166286163E0,6.634902735E0
1.033116542E0,4.941823425E0,-2.918480988E0,4.002377014E0,6.997011634E0
1.043126542E0,5.272036743E0,-3.503913574E0,3.734284515E0,7.349602887E0
1.053137542E0,5.954168243E0,-3.915108490E0,4.030069427E0,8.186675366E0
1.063147542E0,5.960754547E0,-4.282743988E0,4.544848938E0,8.632968360E0
1.073158542E0,5.707780609E0,-4.842879181E0,4.498295746E0,8.733092400E0
1.083168542E0,5.766009521E0,-5.109774170E0,3.759432220E0,8.572630197E0
1.093179542E0,5.612578583E0,-5.084626465E0,3.104843445E0,8.185017865E0
1.103190542E0,6.153104553E0,-5.435496826E0,2.736459503E0,8.654104922E0
1.113200542E0,7.045399017E0,-6.235133972E0,2.810256042E0,9.818965424E0
1.123211542E0,8.188272400E0,-6.793023834E0,3.235671387E0,1.112036632E1
1.133221542E0,8.788973236E0,-7.226522369E0,3.100801849E0,1.179337306E1
1.143232542E0,8.625513153E0,-7.834108887E0,2.661465454E0,1.195224404E1
1.153242542E0,8.677904205E0,-8.566236420E0,1.796114960E0,1.232527715E1
1.163253542E0,9.343869324E0,-9.558073883E0,1.037941589E0,1.340678907E1
1.173264542E0,1.014215927E1,-1.002046234E1,1.357377319E0,1.432185510E1
1.183274542E0,1.145552811E1,-1.019649628E1,1.688937836E0,1.542887460E1
1.193285542E0,1.340567276E1,-1.020233414E1,2.659968567E0,1.705506132E1
1.203295542E0,1.551912781E1,-9.927655334E0,3.996988220E0,1.885146104E1
1.213306542E0,1.676857956E1,-9.746082916E0,4.628824310E0,1.993984471E1
1.223316542E0,1.743469437E1,-9.508975983E0,4.666845245E0,2.040021168E1
1.233327167E0,1.786190598E1,-9.615853729E0,4.745731201E0,2.083348969E1
1.243337167E0,1.763123566E1,-9.895472260E0,5.433850250E0,2.093579639E1
1.253348167E0,1.793315781E1,-9.610315247E0,6.477330322E0,2.135209864E1
1.263359167E0,1.786190598E1,-8.805588684E0,7.074438629E0,2.113371144E1
1.273369167E0,1.733560043E1,-8.130342865E0,7.005881195E0,2.038891583E1
1.283380167E0,1.708831467E1,-7.199129333E0,6.328090668E0,1.959292456E1
1.293390167E0,1.701571564E1,-6.158942413E0,5.166655884E0,1.881917860E1
1.303401167E0,1.735565872E1,-5.245092773E0,4.208797760E0,1.861300262E1
1.313411167E0,1.779095352E1,-4.474195862E0,3.658092957E0,1.870609793E1
1.323422167E0,1.748708542E1,-3.933669891E0,3.498524780E0,1.826229972E1
1.333433167E0,1.733440292E1,-4.264032898E0,3.095862122E0,1.811761197E1
1.343443167E0,1.709175751E1,-4.257895660E0,2.691552887E0,1.781859442E1
1.353454167E0,1.668535263E1,-3.695365448E0,2.173031158E0,1.722726858E1
1.363464167E0,1.628792908E1,-3.134481812E0,1.524579620E0,1.665670894E1
1.373475167E0,1.588706268E1,-2.561024323E0,1.160087585E0,1.613392108E1
1.383485167E0,1.529639099E1,-2.094893646E0,1.556762695E-1,1.543996088E1
1.393496167E0,1.455498276E1,-2.125430145E0,-4.909790039E-1,1.471754180E1
1.403506167E0,1.359817245E1,-2.395318909E0,-5.640270996E-1,1.381904387E1
1.413517167E0,1.325164307E1,-3.045117645E0,-2.944377136E-1,1.360020143E1
1.423528167E0,1.265094223E1,-3.860172729E0,-6.045927429E-1,1.324057420E1
1.433538167E0,1.137933655E1,-3.975433044E0,-6.812333679E-1,1.207300489E1
1.443549167E0,1.074540482E1,-4.284390564E0,-9.542655945E-1,1.160734035E1
1.453559167E0,1.043839325E1,-4.803810425E0,-8.993298340E-1,1.152585972E1
1.463570167E0,9.255403290E0,-5.103487244E0,-8.942404175E-1,1.060696649E1
1.473580167E0,7.924820251E0,-5.517825623E0,-2.330503693E0,9.933802046E0
1.483591167E0,4.924908600E0,-6.616391144E0,-5.234614563E0,9.768958292E0
1.493602167E0,2.040107574E0,-8.269253998E0,-8.705147552E0,1.217875997E1
1.503612167E0,3.409010925E0,-8.191565552E0,-6.502478027E0,1.100024191E1
1.513623167E0,5.275030518E0,-7.740852814E0,-2.333198090E0,9.653525914E0
1.523633167E0,5.548062744E0,-7.729626160E0,-1.030157776E0,9.570232276E0
1.533644167E0,5.411696320E0,-8.098459167E0,1.975891113E-2,9.740220139E0
1.543654167E0,5.412594452E0,-8.507109375E0,5.007087708E-1,1.009543451E1
1.553665167E0,5.993985443E0,-8.095914459E0,1.616488495E0,1.020219229E1
1.563675167E0,6.144123230E0,-8.425529022E0,2.790497131E0,1.079475168E1
