"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.372882959E0,7.555837555E0,-2.278412018E0,2.517315216E0,8.283641613E0
1.382893959E0,7.651488647E0,-2.557431793E0,2.686762848E0,8.503201191E0
1.392905958E0,8.205636292E0,-2.592009888E0,2.993774414E0,9.111183647E0
1.402916959E0,9.464967499E0,-2.240091705E0,3.301085358E0,1.027135751E1
1.412927958E0,1.022194336E1,-1.800156555E0,3.110681305E0,1.083536007E1
1.422938958E0,1.019829254E1,-1.525477753E0,2.640359344E0,1.064442345E1
1.432949958E0,1.009770172E1,-1.716330872E0,2.035766602E0,1.044287879E1
1.442961958E0,1.012449600E1,-2.063758392E0,1.762135620E0,1.048187197E1
1.452972958E0,1.029229706E1,-2.215093689E0,1.888921967E0,1.069607615E1
1.462983958E0,1.072804092E1,-2.168540497E0,2.212249603E0,1.116635474E1
1.472994959E0,1.104792572E1,-2.162852325E0,2.194586334E0,1.146955980E1
1.483005959E0,1.108355164E1,-2.399659882E0,2.085463257E0,1.153050916E1
1.493016958E0,1.114193024E1,-2.521656189E0,1.751657410E0,1.155723423E1
1.503028959E0,1.129581024E1,-2.513872375E0,1.335971832E0,1.164902159E1
1.513039958E0,1.152318741E1,-2.493664398E0,1.396595764E0,1.187234981E1
1.523050958E0,1.175056458E1,-2.654280396E0,1.667083282E0,1.216142010E1
1.533061958E0,1.194381271E1,-2.906805267E0,1.772763519E0,1.241961632E1
1.543072958E0,1.225366837E1,-3.117566986E0,1.957629089E0,1.279468343E1
1.553084958E0,1.255229736E1,-3.247796173E0,2.159559174E0,1.314427803E1
1.563095958E0,1.277727951E1,-3.029100952E0,2.417772217E0,1.335215139E1
1.573106959E0,1.266261795E1,-2.974763947E0,2.432441711E0,1.323283366E1
1.583117959E0,1.242955261E1,-2.796185303E0,1.767823792E0,1.286225608E1
1.593128958E0,1.263582367E1,-2.850522308E0,2.278262329E-1,1.295536267E1
1.603140959E0,1.207239532E1,-2.946173401E0,-1.839674377E-1,1.242805337E1
1.613151958E0,1.144894180E1,-2.790048065E0,2.389031982E-1,1.178642063E1
1.623162958E0,1.148741180E1,-2.580184479E0,8.855584717E-1,1.180687070E1
1.633173958E0,1.159189453E1,-2.532284088E0,1.767524414E0,1.199619207E1
1.643184958E0,1.199964661E1,-2.715054016E0,1.989662476E0,1.246281645E1
1.653196958E0,1.241533218E1,-3.149899750E0,1.913919983E0,1.295088535E1
1.663207958E0,1.293909302E1,-3.505859528E0,1.274000702E0,1.346604088E1
1.673218959E0,1.384051849E1,-3.710184631E0,3.564088440E-1,1.433361257E1
1.683229958E0,1.438748108E1,-3.613785095E0,6.750961304E-2,1.483454118E1
1.693240958E0,1.484148697E1,-3.611090698E0,3.619473267E-1,1.527876688E1
1.703252959E0,1.503862701E1,-2.911595306E0,7.991880798E-1,1.533872196E1
1.713263958E0,1.456037155E1,-2.243085480E0,1.692680054E0,1.482905991E1
1.723274958E0,1.365729950E1,-1.984273682E0,2.501448212E0,1.402556291E1
1.733285958E0,1.284598663E1,-2.009421387E0,3.432062988E0,1.344753521E1
